index,repo_id,tag_name,created_at
39,1385122,v2.1.0rc1,01-09-2017
40,1385122,v2.0.2,10-05-2017
41,1385122,v2.0.1,02-05-2017
42,1385122,v2.0.0,17-01-2017
43,1385122,v2.0.0rc2,18-12-2016
44,1385122,v2.0.0rc1,05-12-2016
45,1385122,v2.0.0b4,09-09-2016
46,1385122,v1.5.3,09-09-2016
47,1385122,v2.0.0b3,16-07-2016
48,1385122,v2.0.0b2,13-07-2016
49,1385122,v1.5.2,03-07-2016
50,1385122,v2.0.0b1,31-05-2016
51,1385122,v1.5.1,10-01-2016
52,1385122,v1.5.0,29-10-2015
53,1385122,v1.4.3,16-02-2015
54,1385122,v1.4.2,23-10-2014
55,1385122,v1.4.1,18-10-2014
56,1385122,v1.4.0,26-08-2014
0,54834492,0.5.0,04-07-2021
1,54834492,0.4.2,09-07-2019
2,54834492,0.4.0,14-02-2018
3,54834492,0.3.1,25-10-2016
0,14579099,v5.1.0,28-06-2021
1,14579099,v5.0.0,21-06-2021
2,14579099,v5.0.0rc2,07-06-2021
3,14579099,v5.0.0rc1,31-05-2021
4,14579099,v4.14.3,12-01-2021
5,14579099,v4.14.2,11-01-2021
6,14579099,v4.14.1,09-12-2020
7,14579099,v4.14.0,07-12-2020
8,14579099,v4.13.0,23-11-2020
9,14579099,v4.12.0,23-10-2020
10,14579099,v4.11.0,01-10-2020
11,14579099,v4.10.0,10-09-2020
12,14579099,v4.9.0,16-07-2020
13,14579099,v4.8.2,26-06-2020
14,14579099,v4.8.1,29-05-2020
15,14579099,v4.8.0,26-05-2020
16,14579099,v4.7.1,08-05-2020
17,14579099,v4.7.0,06-05-2020
18,14579099,v4.6.0,01-04-2020
19,14579099,v4.5.4,11-03-2020
20,14579099,v4.5.3,06-03-2020
21,14579099,v4.5.2,25-02-2020
22,14579099,v4.5.1,19-02-2020
23,14579099,v4.5.0,22-01-2020
24,14579099,v4.4.1,10-12-2019
25,14579099,v4.4.0,10-12-2019
26,14579099,v4.3.0,12-11-2019
27,14579099,v4.2.1,18-10-2019
28,14579099,v4.2.0,16-10-2019
29,14579099,v4.1.0,07-08-2019
30,14579099,v4.0.0,16-07-2019
31,14579099,v3.10.0,31-05-2019
32,14579099,v3.9.0,06-05-2019
33,14579099,v3.8.1,19-04-2019
34,14579099,v3.8.0,15-04-2019
35,14579099,v3.7.1,19-03-2019
36,14579099,v3.7.0,08-03-2019
37,14579099,v3.6.1,08-02-2019
38,14579099,v3.6.0,01-02-2019
39,14579099,v3.5.0,04-01-2019
40,14579099,v3.4.2,23-11-2018
41,14579099,v3.4.1,09-11-2018
42,14579099,v3.4.0,02-11-2018
43,14579099,v3.3.0,28-09-2018
44,14579099,v3.2.1,14-09-2018
45,14579099,v3.2.0,05-09-2018
46,14579099,v3.1.1,10-08-2018
47,14579099,v3.1.0,21-07-2018
48,14579099,v3.0.0,06-07-2018
49,14579099,v3.0.2,17-07-2018
50,14579099,v2.0.0,25-01-2017
51,14579099,v2.0.0-pre,19-01-2017
52,14579099,v1.13.0,11-01-2017
53,14579099,1.6.12,13-03-2015
54,14579099,1.6.8,21-02-2015
55,14579099,1.6.7,20-02-2015
0,12777496,pyqtgraph-0.12.2,08-07-2021
1,12777496,pyqtgraph-0.12.1,07-04-2021
2,12777496,pyqtgraph-0.12.0,25-03-2021
3,12777496,pyqtgraph-0.11.1,20-12-2020
4,12777496,pyqtgraph-0.11.0,08-06-2020
0,92974124,0.31.3,23-06-2021
1,92974124,0.31.0,07-06-2021
2,92974124,0.30.0,10-05-2021
3,92974124,0.29.0,09-03-2021
4,92974124,0.28.0,03-02-2021
5,92974124,0.27.0,08-11-2020
6,92974124,0.26.0,10-09-2020
7,92974124,0.25.1,04-06-2020
8,92974124,0.25.0RC,02-06-2020
9,92974124,0.24.0,16-03-2020
10,92974124,0.23.1,03-02-2020
11,92974124,0.23.0,17-12-2019
12,92974124,0.22.4,14-10-2019
13,92974124,0.22.2,20-09-2019
14,92974124,0.22.1,22-08-2019
15,92974124,0.22.0,19-08-2019
16,92974124,0.21.4,07-08-2019
17,92974124,0.21.3,01-08-2019
18,92974124,0.21.2,20-07-2019
19,92974124,0.21.1,11-07-2019
20,92974124,0.21.0,30-06-2019
21,92974124,0.20.4,19-06-2019
22,92974124,0.20.3,31-05-2019
23,92974124,0.20.2,18-05-2019
24,92974124,0.20.1,12-05-2019
25,92974124,v0.18.3,19-04-2019
26,92974124,0.17.4,25-03-2019
27,92974124,0.17.2,14-03-2019
28,92974124,0.17.1,06-03-2019
29,92974124,0.17.0,03-03-2019
30,92974124,0.16.10,22-02-2019
31,92974124,0.16.9,17-02-2019
32,92974124,0.16.8,13-02-2019
33,92974124,0.5.0,16-01-2018
34,92974124,0.4.0,27-11-2017
35,92974124,0.3.2,14-11-2017
0,4704710,joss_paper,29-03-2021
1,4704710,v0.11.1,20-12-2020
2,4704710,v0.11.0,08-09-2020
3,4704710,v0.11.0.rc0,02-09-2020
4,4704710,v0.10.1,26-04-2020
5,4704710,v0.10.0,24-01-2020
6,4704710,v0.9.1,24-01-2020
7,4704710,v0.10.0.rc0,22-01-2020
8,4704710,v0.9.1.rc0,22-01-2020
9,4704710,v0.9.0,16-07-2018
10,4704710,v0.8.1,03-09-2017
11,4704710,v0.8.0,08-07-2017
12,4704710,v0.7.1,05-06-2016
13,4704710,v0.7.0,25-01-2016
14,4704710,v0.6.0,29-06-2015
15,4704710,v0.5.1,22-11-2014
16,4704710,v0.5.0,14-11-2014
17,4704710,v0.4.0,03-09-2014
18,4704710,v0.3.1,21-04-2014
19,4704710,v0.3.0,23-03-2014
20,4704710,v0.2.1,15-01-2014
21,4704710,v0.2.0,23-12-2013
0,18925814,v0.19.0,22-04-2020
1,18925814,v0.18.0,24-12-2018
2,18925814,v0.17.1,02-04-2018
3,18925814,v0.17.0,02-04-2018
4,18925814,v0.16.0,27-10-2017
5,18925814,v0.15.1,27-07-2017
